LEAID,grad_rate
100005,88.625
100006,85.75
100007,93.05263157894737
100008,95.75
100013,95.4
100030,82.66666666666667
100090,61.5
100100,92.33333333333333
100120,90.14285714285714
100180,72.0
100185,92.6
100190,96.83333333333333
100194,94.25
100210,92.15384615384616
100240,84.77777777777777
100270,76.67647058823529
100330,57.75
100360,82.25
100390,69.33333333333333
100420,87.16666666666667
100510,77.375
100540,85.6086956521739
100600,81.5
100630,84.75
100660,79.5909090909091
100720,83.875
100780,94.2
100840,77.0
100930,87.42857142857143
100990,93.25
101020,83.3913043478261
101050,86.66666666666667
101110,82.75
101140,85.30434782608695
101170,77.57894736842105
101200,88.0
101230,83.0
101290,80.30434782608695
101320,92.625
101350,80.75
101380,87.6470588235294
101410,76.8
101440,57.0
101530,89.57142857142857
101560,95.0
101590,87.0
101620,75.11111111111111
101660,80.0
101710,80.14285714285714
101730,92.25
101740,79.5
101760,93.125
101770,90.6875
101800,80.35483870967742
101830,88.5625
101890,90.0
101920,83.72222222222223
102010,90.17647058823529
102040,87.875
102070,83.26086956521739
102100,89.25
102190,84.66666666666667
102220,84.54838709677419
102310,80.0
102370,74.27777777777777
102400,83.625
102430,71.17391304347827
102480,86.375
102490,97.57142857142857
102520,95.28571428571429
102580,89.0
102635,92.0
102640,77.5
102650,85.42857142857143
102700,75.6
102730,88.42857142857143
102880,73.75
102940,75.5
102970,80.375
103030,90.08695652173913
103062,82.22222222222223
103090,76.5
103120,72.0
103150,62.0
103180,87.0
103210,85.25
103360,77.95652173913044
103390,77.6774193548387
103430,96.64285714285714
103450,83.04347826086956
103480,88.375
103510,72.0
103580,86.2
200001,47.375
200130,75.375
200150,77.66666666666667
200180,70.01639344262296
200210,78.875
200390,80.88235294117646
200480,82.25
200510,74.33333333333333
200540,28.0
200600,76.125
200862,55.0
400001,93.5625
400003,75.0
400082,76.15384615384616
400083,26.333333333333332
400103,19.333333333333332
400107,42.125
400108,55.0
400112,86.33333333333333
400157,29.75
400219,24.9
400261,16.666666666666668
400273,21.666666666666668
400295,74.625
400303,46.0
400311,43.875
400324,6.5
400329,35.458333333333336
400353,31.5
400354,30.5
400355,25.666666666666668
400432,32.88235294117647
400450,86.33333333333333
400621,18.285714285714285
400636,19.5
400680,82.25925925925925
400790,79.125
400816,24.4
401410,88.09375
401460,87.55555555555556
401740,75.6086956521739
401760,94.375
401870,90.29411764705883
401940,61.875
402320,71.28571428571429
402530,84.33333333333333
402690,87.3225806451613
402860,85.5
402920,81.9375
403010,86.625
403400,87.27586206896552
403450,85.97142857142858
403780,91.1875
403870,86.55555555555556
403990,85.33333333333333
404060,70.0
404280,83.66666666666667
404630,84.95833333333333
404720,74.125
404970,71.325
405070,79.42857142857143
405530,87.84210526315789
405820,74.8
405930,84.5625
406070,76.4
406250,92.51515151515152
406330,75.82608695652173
406580,77.0
406730,83.875
406810,92.33333333333333
407240,77.125
407300,85.0
407520,88.4
407570,85.5625
407700,82.5
407750,91.25
408170,74.63636363636364
408340,84.02857142857142
408520,85.0
408680,63.0
408800,78.74358974358974
408850,91.0
409160,47.0
409190,79.0
409430,67.0
409630,84.51612903225806
500015,84.77777777777777
500017,88.0
500019,89.4
500026,71.76923076923077
500043,85.5
500044,91.25
500419,85.0
502250,90.625
502880,83.28571428571429
502960,92.25
503060,89.0
503320,76.4
503690,88.41176470588235
503750,86.72222222222223
504590,87.0
505680,85.25
506120,87.11111111111111
506270,75.83333333333333
506330,79.60714285714286
506900,95.0
506990,94.5
507380,85.0
507680,65.0
507840,82.0
507890,68.375
508040,77.04347826086956
508280,86.9
508610,84.9
508670,89.57142857142857
509000,77.26666666666667
509390,86.625
510440,91.83333333333333
510680,72.95833333333333
511850,72.125
511970,87.0
512060,85.66666666666667
512210,86.125
512450,90.0
512660,83.48717948717949
513080,93.57142857142857
513110,79.5
513380,95.0
513410,86.5
513530,94.57142857142857
513930,87.0
514140,88.125
514430,88.0
600002,75.16666666666667
600003,75.16666666666667
600007,80.33333333333333
600013,94.75
600014,86.08333333333333
600015,15.0
600016,93.11111111111111
600017,83.125
600019,94.375
600020,96.4
600022,72.0
600025,95.35714285714286
600027,88.4375
600028,91.11764705882354
600029,93.125
600032,92.4
600033,95.0
600034,88.625
600035,86.5
600036,88.42857142857143
600039,95.0
600044,88.0
600046,94.0
600047,87.29268292682927
600048,88.57142857142857
600052,89.75
600060,80.0
600061,83.0
600062,90.0909090909091
600064,83.33333333333333
600065,92.83333333333333
600069,94.875
600153,91.875
600158,90.75757575757575
600160,88.0
601332,76.75
601409,82.0
601410,96.5
601414,85.52777777777777
601415,78.44444444444444
601418,88.0
601421,91.8
601423,84.8
601620,91.3030303030303
601650,97.4375
601770,87.25
601860,91.125
602430,82.15625
602450,88.77777777777777
602630,81.14035087719299
602670,91.625
602700,83.7
602820,74.05357142857143
602850,76.54054054054055
602970,97.8
603030,91.8
603300,94.33333333333333
603600,90.16666666666667
603690,91.44
603840,76.36363636363636
604020,73.1875
604110,91.0
604230,89.5
604290,87.47619047619048
604440,89.08333333333333
604620,95.5
604740,84.5909090909091
604830,94.53846153846153
605610,93.15384615384616
605820,92.0
605880,96.0
605940,95.0
606450,91.25
606780,88.5
606870,91.625
606900,79.21875
607230,85.27272727272727
607440,92.74
607500,94.25
607530,96.2
607560,92.0
607800,95.375
607900,86.875
607920,72.78125
607970,79.20833333333333
608010,85.37037037037037
608130,86.20833333333333
608160,84.35384615384615
608190,94.3076923076923
608370,86.04166666666667
608460,86.88235294117646
608550,86.8
608760,94.7
609030,92.6
609070,78.0625
609120,75.625
609390,79.3
609620,65.66666666666667
609640,94.46875
609690,69.5
609810,86.875
609850,89.34920634920636
609870,96.125
609940,83.0
610050,94.875
610260,91.0
610350,83.8
610620,95.125
610770,82.25
610860,91.64516129032258
611040,72.33333333333333
611110,84.875
611280,80.625
611460,91.82758620689656
611520,91.5
611820,76.89285714285714
612070,91.91666666666667
612120,84.175
612180,89.0
612210,96.14285714285714
612330,84.33333333333333
612840,93.25
612910,80.825
613230,80.33333333333333
613360,82.74074074074075
613530,79.45833333333333
613800,87.375
613890,89.91666666666667
613920,81.76190476190476
614190,88.5
614400,88.02380952380952
614430,89.43589743589743
614550,75.984375
614760,88.49056603773585
614820,87.6470588235294
614880,87.41071428571429
614950,85.0
615180,83.58333333333333
615240,87.5625
615270,97.14285714285714
616230,72.64150943396227
616325,82.89655172413794
616500,86.1923076923077
616740,73.77777777777777
616920,81.93939393939394
618060,86.44642857142857
618210,95.125
618390,78.75862068965517
618930,89.0
619260,83.25
619490,89.58333333333333
619540,81.43939393939394
619650,82.45833333333333
619700,86.95833333333333
619830,92.0
620070,68.2
620130,97.33333333333333
620370,96.75
620640,87.0
621000,93.875
621060,89.0
621400,89.08333333333333
621600,86.5
621690,88.77777777777777
621810,91.33333333333333
621870,81.55555555555556
622110,91.0
622230,80.85416666666667
622410,84.41666666666667
622500,77.76923076923077
622590,97.13333333333334
622710,65.75
622740,91.41666666666667
622800,96.875
623080,89.93548387096774
623160,73.53333333333333
623340,84.39285714285714
623610,91.48484848484848
624030,89.0
624090,79.77777777777777
624230,84.16666666666667
624500,93.16666666666667
624660,89.04545454545455
625150,77.92156862745098
625230,76.0
625320,87.46666666666667
625470,80.36363636363636
625530,87.125
625690,92.75
625800,77.78260869565217
625830,84.53846153846153
625860,82.57142857142857
626100,64.0
626310,95.125
626370,79.18
626640,86.90625
626880,87.73913043478261
626910,81.4375
627030,55.0
627060,88.16666666666667
627200,93.8
627240,90.89473684210526
627590,82.2
627690,91.5
627720,93.5
627850,96.41666666666667
628050,60.660714285714285
628250,85.4375
628270,89.2
628650,91.78571428571429
629130,85.16666666666667
629270,76.63265306122449
629490,84.3225806451613
629550,84.94285714285714
629610,95.38095238095238
629640,80.0
629700,98.0
629820,86.11111111111111
629850,80.7741935483871
629910,86.28571428571429
629940,80.70833333333333
630030,85.47058823529412
630210,84.475
630250,89.34782608695652
630330,98.0
630600,78.875
630660,92.24324324324324
630750,91.33333333333333
631320,78.75
631530,93.41463414634147
631710,90.08333333333333
632010,83.9375
632070,88.84848484848484
632370,80.05714285714286
632550,77.0625
632610,83.5
632880,94.0
633150,82.15384615384616
633630,89.6
633750,84.89189189189189
633840,77.39682539682539
633860,91.87878787878788
633980,77.25
634140,87.66666666666667
634170,75.90566037735849
634320,81.73529411764706
634380,95.66666666666667
634410,77.09836065573771
634425,84.94444444444444
634440,83.875
634590,83.9375
634620,76.67857142857143
634680,85.85
634710,84.88888888888889
634740,91.0
634800,96.125
634860,96.66666666666667
634880,94.625
634980,89.88372093023256
635110,80.21428571428571
635130,97.44444444444444
635250,93.70833333333333
635310,82.1219512195122
635370,84.6
635430,81.87878787878788
635600,89.51851851851852
635670,82.97142857142858
635700,90.0
635760,85.0
635830,77.675
635850,95.625
636270,89.33333333333333
636390,74.0
636600,90.45833333333333
636800,91.0
636840,81.25
636970,85.7
636972,76.6969696969697
637050,87.3125
637200,88.125
637260,90.875
637500,95.375
637530,88.5
637620,78.0
638010,75.45238095238095
638640,80.84745762711864
638730,94.875
638770,90.875
638790,96.625
638880,82.5
638980,96.10526315789474
639000,97.25
639420,93.5813953488372
639630,96.0
639930,86.07407407407408
640150,95.56756756756756
640300,84.16666666666667
640590,83.06896551724138
640740,64.38461538461539
640980,88.46875
641160,90.0
641190,80.47368421052632
641280,97.32
641430,86.45454545454545
641580,86.8125
641640,68.0
642000,93.0
642140,88.25
642480,84.18181818181819
642510,90.83928571428571
643080,87.08333333333333
643470,84.03571428571429
643560,88.26923076923077
684500,94.63636363636364
691007,10.0
691011,19.0
691012,25.555555555555557
691017,43.0
691020,44.6
691021,45.0
691024,27.466666666666665
691026,18.428571428571427
691027,19.0
691029,15.5
691030,17.272727272727273
691031,22.428571428571427
691032,78.0
691035,18.5
691036,52.0
691041,21.6
691045,41.0
691051,35.5
691052,13.0
691078,32.333333333333336
691135,89.9
800020,39.285714285714285
800282,34.333333333333336
801920,88.7
801950,64.08333333333333
802340,57.61224489795919
802490,85.1875
802580,75.35483870967742
802790,75.57142857142857
802910,83.06896551724138
802940,95.125
803060,64.875
803090,59.4
803330,84.33333333333333
803360,58.63157894736842
803450,79.525
803480,77.44444444444444
803540,76.625
803720,88.33333333333333
803780,49.875
803870,61.25925925925926
803990,76.0
804050,71.875
804080,83.375
804260,82.25
804350,74.90322580645162
804410,76.08333333333333
804530,78.125
804800,71.83673469387755
804830,87.0
804860,22.714285714285715
805250,81.5
805310,90.6875
805370,78.36363636363636
805400,74.29166666666667
805550,53.0
805790,78.46153846153847
805820,94.4375
806120,70.51612903225806
806150,83.44444444444444
806240,77.375
806480,78.5909090909091
806690,75.0
806810,90.33333333333333
806900,72.125
807230,60.53846153846154
807350,90.22222222222223
807380,81.0
900002,95.97222222222223
900003,2.3333333333333335
900005,89.375
900060,75.5
900120,96.375
900210,94.625
900270,93.75
900420,92.625
900450,67.34375
900510,82.89473684210526
900540,96.125
900700,88.88888888888889
900750,95.66666666666667
900840,93.625
901020,76.58333333333333
901050,96.76923076923077
901260,81.6875
901290,77.75
901320,94.625
901440,94.66666666666667
901470,85.93333333333334
901530,94.75
901560,95.625
901620,96.75
901680,95.0
901710,95.5625
901770,84.125
901800,95.14285714285714
901860,86.5
901920,66.06060606060606
902070,79.6
902160,91.57142857142857
902280,97.28571428571429
902310,79.125
902400,69.3
902490,84.25
902520,89.9375
902550,96.57142857142857
902580,86.0
902640,83.5
902670,62.125
902700,97.71428571428571
902730,96.16666666666667
902790,72.15625
902820,70.75
902850,88.84615384615384
902880,90.55555555555556
902910,95.25
903030,91.0
903090,87.18181818181819
903270,85.33333333333333
903300,90.25
903520,95.66666666666667
903536,95.0
903537,94.0
903660,95.21428571428571
903720,93.0
903750,91.875
903780,95.875
903810,96.66666666666667
903840,92.0
904050,91.64285714285714
904110,95.2
904170,93.8
904230,93.0
904320,86.40625
904380,94.0
904440,89.81818181818181
904470,94.0
904560,93.875
904590,80.625
904620,97.46666666666667
904680,80.125
904740,91.875
904830,68.67647058823529
904860,91.85714285714286
904890,90.75
904920,94.1875
904950,74.22222222222223
905010,98.0
905040,97.77777777777777
905070,91.75
905130,97.125
905190,61.0
905220,85.625
905280,93.8
905371,84.94444444444444
905373,95.16666666666667
1000004,97.0
1000080,91.875
1000170,85.0
1000180,83.3076923076923
1000190,78.625
1000200,67.43333333333334
1000230,76.28571428571429
1000680,86.57894736842105
1000750,95.375
1000790,80.57142857142857
1001080,83.42857142857143
1001240,83.91666666666667
1001280,90.61290322580645
1001300,84.4090909090909
1001530,73.0
1001620,83.75
1001680,96.42857142857143
1100005,67.0
1100008,87.88888888888889
1100030,57.130434782608695
1200002,71.88888888888889
1200030,67.57894736842105
1200060,74.9
1200090,70.38461538461539
1200120,71.8
1200150,79.9423076923077
1200180,74.69117647058823
1200240,76.41666666666667
1200270,76.375
1200300,77.0952380952381
1200330,77.51923076923077
1200360,68.04166666666667
1200390,75.953125
1200420,62.875
1200480,71.27272727272727
1200510,61.205128205128204
1200540,78.04347826086956
1200600,59.333333333333336
1200630,87.0
1200750,67.25
1200780,74.6875
1200810,77.24
1200840,65.16666666666667
1200870,72.1029411764706
1200900,75.0
1200930,81.58333333333333
1200960,71.3076923076923
1201050,72.02083333333333
1201080,66.10714285714286
1201110,77.06060606060606
1201140,74.2
1201200,57.0
1201230,69.41666666666667
1201260,71.85416666666667
1201290,83.48148148148148
1201320,78.375
1201350,89.1
1201380,80.29166666666667
1201410,67.27272727272727
1201440,75.48484848484848
1201470,75.84210526315789
1201500,75.16176470588235
1201530,72.95454545454545
1201560,70.93103448275862
1201590,62.964285714285715
1201620,63.208333333333336
1201650,78.45833333333333
1201680,73.27906976744185
1201710,78.625
1201740,84.875
1201770,74.31914893617021
1201800,81.38888888888889
1201830,71.2
1201860,55.5
1201920,63.916666666666664
1201950,80.7
1201980,77.75
1202010,72.625
1300001,71.3125
1300023,20.0
1300026,7.0
1300060,80.375
1300120,57.515151515151516
1300210,77.0
1300214,17.333333333333332
1300227,35.4
1300231,9.714285714285714
1300232,49.53846153846154
1300235,9.5
1300240,88.25
1300246,8.0
1300290,75.625
1300330,73.0
1300360,76.25
1300390,73.5
1300420,64.24137931034483
1300440,72.0
1300480,73.75
1300540,60.0
1300570,82.3125
1300600,90.42857142857143
1300630,78.0
1300660,80.5
1300690,77.375
1300720,93.5
1300780,85.11764705882354
1300840,79.91666666666667
1300870,86.75
1300900,82.75
1300930,81.72727272727273
1301020,71.75757575757575
1301080,74.85714285714286
1301110,74.05555555555556
1301170,72.75
1301230,53.875
1301290,69.0625
1301350,75.84615384615384
1301380,78.75
1301410,81.6875
1301470,81.875
1301500,78.09375
1301560,75.33333333333333
1301590,70.0
1301620,77.52941176470588
1301650,87.25
1301680,94.8
1301710,79.38461538461539
1301740,58.17460317460318
1301770,79.5
1301830,69.73913043478261
1301860,79.6875
1301870,56.666666666666664
1301890,79.9090909090909
1301980,83.88235294117646
1302010,74.4
1302040,75.9
1302100,86.33333333333333
1302130,84.3125
1302190,83.0
1302220,86.60714285714286
1302250,85.0
1302280,74.37931034482759
1302310,76.57142857142857
1302340,85.375
1302400,78.74074074074075
1302430,87.4375
1302460,82.4
1302520,68.37037037037037
1302550,67.95833333333333
1302580,82.38461538461539
1302610,78.19354838709677
1302670,72.11111111111111
1302700,88.18181818181819
1302730,87.16666666666667
1302820,75.1219512195122
1302880,78.84375
1302940,85.0625
1303000,88.5
1303030,92.8
1303060,78.5
1303150,77.88888888888889
1303210,67.0
1303270,80.85714285714286
1303300,77.25
1303360,88.0
1303390,80.82352941176471
1303420,85.0
1303480,82.4
1303510,67.33333333333333
1303570,76.375
1303630,78.6
1303720,84.25
1303750,34.5
1303780,87.75
1303840,79.65217391304348
1303870,75.70588235294117
1303930,78.83333333333333
1303960,93.6875
1304020,77.9375
1304050,74.375
1304110,89.5
1304140,88.5
1304170,85.5
1304200,75.05263157894737
1304260,63.0
1304380,67.09375
1304410,77.22222222222223
1304440,87.5
1304500,82.0
1304560,87.25
1304620,71.5
1304770,70.5
1304890,82.27272727272727
1304950,69.33333333333333
1304980,79.92307692307692
1305040,74.66666666666667
1305250,98.0
1305280,79.36363636363636
1305310,68.73913043478261
1305340,67.0
1305370,77.04166666666667
1305390,77.41666666666667
1305430,85.33333333333333
1305490,84.14285714285714
1305550,75.44444444444444
1305670,91.4
1305700,72.61290322580645
1305850,74.875
1500030,74.0327868852459
1600002,88.33333333333333
1600004,31.444444444444443
1600005,21.0
1600144,17.666666666666668
1600149,28.4
1600270,72.6
1600300,88.66666666666667
1600360,79.33333333333333
1600510,75.8
1600600,82.26666666666667
1600660,87.2
1600780,86.0
1600930,74.53333333333333
1600960,84.33333333333333
1601020,78.0
1601530,70.13333333333334
1601570,86.33333333333333
1601590,79.6
1601770,84.6
1601800,89.57142857142857
1601860,83.5
1601920,90.6
1602100,80.5
1602130,81.8
1602190,72.42857142857143
1602220,86.5
1602250,82.2
1602340,77.8
1602640,88.33333333333333
1602670,81.2
1603240,74.66666666666667
1700110,60.8
1703600,83.42857142857143
1703870,94.125
1704020,85.7
1704170,87.15
1704680,64.33333333333333
1704710,75.79310344827586
1704920,90.27272727272727
1705050,96.125
1705220,93.76470588235294
1705640,86.41935483870968
1705790,83.22222222222223
1706120,83.5
1706420,70.3913043478261
1706480,81.125
1706540,79.825
1706960,89.1875
1707050,82.66666666666667
1707830,94.42857142857143
1708040,71.75
1708280,88.0
1708370,89.125
1708400,90.91666666666667
1708550,86.33333333333333
1709300,75.875
1709420,82.0
1709600,85.6
1709930,75.40579710144928
1710650,82.875
1711250,83.0
1711370,95.88235294117646
1711790,72.5
1711850,69.33333333333333
1712000,82.77777777777777
1712330,79.0
1712570,92.52631578947368
1712700,92.88888888888889
1713230,84.625
1713320,70.25
1713530,93.55555555555556
1713560,86.33333333333333
1713710,79.2051282051282
1713940,87.09375
1713970,95.23529411764706
1714100,87.5
1714490,88.9090909090909
1714580,88.0
1715030,88.0
1715900,78.375
1716080,84.66666666666667
1716350,95.0
1716380,97.125
1716830,87.3157894736842
1717280,75.1875
1717340,90.0909090909091
1717550,94.58823529411765
1718240,78.8125
1718810,72.0
1718990,87.625
1719080,95.05882352941177
1719320,94.29411764705883
1719560,94.5625
1719620,92.05882352941177
1719830,91.58823529411765
1719970,83.0
1720280,80.25
1720430,87.0
1720490,91.0
1720610,75.675
1720760,71.125
1721780,95.16666666666667
1721840,93.05882352941177
1721900,96.78571428571429
1722110,84.875
1722500,95.4
1722740,83.73076923076923
1722830,96.05882352941177
1722950,79.57142857142857
1723050,76.85714285714286
1723070,95.5625
1723350,89.875
1723880,93.17647058823529
1724060,92.25
1724090,87.15625
1724480,95.55555555555556
1724570,93.66666666666667
1724600,83.125
1724940,84.25
1725050,90.85714285714286
1725320,92.11764705882354
1725770,91.375
1726340,90.58823529411765
1726400,89.625
1726640,88.57142857142857
1726800,92.25
1726880,72.8
1727360,82.625
1727390,89.0
1727570,89.27272727272727
